Ключевое слово,Автор,Тип,Сопровождение,Вопрос,Начальная форма,Роль,Собственное ли,Одушевлённость,Род,Склонение,Число,Падеж,Разряд,Полнота формы,Степень сравнения,Совершенность,Возвратность,Переходность,Спряжение,Наклонение,Время,Лицо,Структура,Количественное/порядковое,Действительное/страдательное,Производность,Подразряд
(с) Этажерки,И. А. Гончаров,Существительное,"Алексеев стал ходить взад и вперёд по комнате, потом остановился перед картиной, которую видел тысячу раз прежде, взглянул мельком в окно, взял какую-то вещь с этажерки, повертел в руках, посмотрел со всех сторон и положил опять, а там пошёл опять ходить, посвистывая, — это всё, чтоб не мешать Обломову встать и умыться.","чего,откуда","этажерка,этажёрка",обстоятельство.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,Р.п.,,,,,,,,,,,,,,,
Минут,И. А. Гончаров,Существительное,Так прошло минут десять.,чего,минута,дополнение.,нариц.,неодуш.,,3 скл.,мн.ч.,Р.п.,,,,,,,,,,,,,,,
Пальцами,И. А. Гончаров,Существительное,"Обломов задумался, а Алексеев барабанил пальцами по столу, у которого сидел, рассеяно пробегая глазами по стенам и по потолку.",чем,палец,дополнение.,нариц.,неодуш.,,2 скл.,мн.ч.,Т.п.,,,,,,,,,,,,,,,
(о) Быте,И. С. Тургенев,Существительное,"Мы толковали о посеве, об урожае, о крестьянском быте.",чём,быт,дополнение.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,П.п.,,,,,,,,,,,,,,,
(в) Бореньях,А. С. Пушкин,Существительное,"Была та смутная пора, когда Россия молодая, в бореньях силы напрягая, мужала с гением Петра.",чём,боренье,дополнение.,нариц.,неодуш.,,2 скл.,мн.ч.,П.п.,,,,,,,,,,,,,,,
(на) Мхе,И. С. Тургенев,Существительное,"На высохшем мхе, на лиловом бурьяне, на мягкой пыли дороги, на тонких стволах, на чистых листочках молодых берёз лежал ясный и кроткий свет уже беззнойного невысокого солнца.","чём,где",мох,обстоятельство.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,П.п.,,,,,,,,,,,,,,,
(на) Бурьяне,И. С. Тургенев,Существительное,"На высохшем мхе, на лиловом бурьяне, на мягкой пыли дороги, на тонких стволах, на чистых листочках молодых берёз лежал ясный и кроткий свет уже беззнойного невысокого солнца.","чём,где",бурьян,обстоятельство.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,П.п.,,,,,,,,,,,,,,,
(на) Пыли,И. С. Тургенев,Существительное,"На высохшем мхе, на лиловом бурьяне, на мягкой пыли дороги, на тонких стволах, на чистых листочках молодых берёз лежал ясный и кроткий свет уже беззнойного невысокого солнца.","чём,где",пыль,обстоятельство.,нариц.,неодуш.,м.р.,3 скл.,ед.ч.,П.п.,,,,,,,,,,,,,,,
(на) Стволах,И. С. Тургенев,Существительное,"На высохшем мхе, на лиловом бурьяне, на мягкой пыли дороги, на тонких стволах, на чистых листочках молодых берёз лежал ясный и кроткий свет уже беззнойного невысокого солнца.","чём,где",ствол,обстоятельство.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,П.п.,,,,,,,,,,,,,,,
Берёз,И. С. Тургенев,Существительное,"На высохшем мхе, на лиловом бурьяне, на мягкой пыли дороги, на тонких стволах, на чистых листочках молодых берёз лежал ясный и кроткий свет уже беззнойного невысокого солнца.",чего,"берёза,береза",дополнение.,нариц.,неодуш.,,1 скл.,мн.ч.,Р.п.,,,,,,,,,,,,,,,
Свет,И. С. Тургенев,Существительное,"На высохшем мхе, на лиловом бурьяне, на мягкой пыли дороги, на тонких стволах, на чистых листочках молодых берёз лежал ясный и кроткий свет уже беззнойного невысокого солнца.",что,свет,подлежащее.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
(в) Эскадрильи,Л. К. Татьяничева,Существительное,Но не случайно в эскадрильи он был любим.,"чём,куда",эскадрилья,обстоятельство.,нариц.,неодуш.,,1 скл.,мн.ч.,П.п.,,,,,,,,,,,,,,,
Многоцветье,Л. К. Татьяничева,Существительное,А рядом в поле многоцветье трав…,что,многоцветье,подлежащее.,нариц.,неодуш.,ср.р.,2 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
(до) Мирозданья,Л. К. Татьяничева,Существительное,От атома до мирозданья в мгновенье всё заключено.,"чего,куда",мирозданье,обстоятельство.,нариц.,неодуш.,ср.р.,2 скл.,ед.ч.,Р.п.,,,,,,,,,,,,,,,
Уксусу,И. А. Гончаров,Существительное,"Хватишься — перцу нет, уксусу не куплено…",чего,уксус,дополнение.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,Д.п.,,,,,,,,,,,,,,,
(на) Улицу,В. Г. Короленко,Существительное,"Обыватели, то и дело выходя на улицу, стучали палками по заборам, давая кому-то знать, что они на стороже.","что,куда",улица,обстоятельство.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,В.п.,,,,,,,,,,,,,,,
Калики,С. А. Есенин,Существительное,"Проходили калики деревнями, выпивали под окнами квасу.",кто,калика,подлежащее.,нариц.,одуш.,,1 скл.,мн.ч.,И.п.,,,,,,,,,,,,,,,
Чайку,Н. В. Гоголь,Существительное,А с чем прихлебнёте чайку?,чего,"чаёк,чаек",дополнение.,нариц.,неодуш.,м.р.,1 скл.,ед.ч.,В.п.,,,,,,,,,,,,,,,
Дождь,Ф. А. Абрамов,Существительное,"Когда он вышел из дому, дождь всё ещё моросил.",кто,дождь,подлежащее.,нариц.,одуш.,м.р.,2 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
Человеку,Н. В. Гоголь,Существительное,"Если б вы знали, какую услугу оказали сей, по-видимому, дрянью человеку без племени и роду.",кому,человек,дополнение.,нариц.,одуш.,м.р.,2 скл.,ед.ч.,Д.п.,,,,,,,,,,,,,,,
Лет,Н. В. Гоголь,Существительное,"Несмотря на то что минуло более восьми лет их супружеству, из них всё ещё каждый приносил другому или кусочек яблочка, или конфетку, или орешек и говорил трогательно-нежным голосом: «Разинь, душенька, свой ротик, я тебе положу этот кусочек».",чего,год,дополнение.,нариц.,неодуш.,,3 скл.,мн.ч.,Р.п.,,,,,,,,,,,,,,,
Супружеству,Н. В. Гоголь,Существительное,"Несмотря на то что минуло более восьми лет их супружеству, из них всё ещё каждый приносил другому или кусочек яблочка, или конфетку, или орешек и говорил трогательно-нежным голосом: «Разинь, душенька, свой ротик, я тебе положу этот кусочек».",чему,супружество,дополнение.,нариц.,неодуш.,ср.р.,2 скл.,ед.ч.,Д.п.,,,,,,,,,,,,,,,
Орешек,Н. В. Гоголь,Существительное,"Несмотря на то что минуло более восьми лет их супружеству, из них всё ещё каждый приносил другому или кусочек яблочка, или конфетку, или орешек и говорил трогательно-нежным голосом: «Разинь, душенька, свой ротик, я тебе положу этот кусочек».",что,орешек,дополнение.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
Голосом,Н. В. Гоголь,Существительное,"Несмотря на то что минуло более восьми лет их супружеству, из них всё ещё каждый приносил другому или кусочек яблочка, или конфетку, или орешек и говорил трогательно-нежным голосом: «Разинь, душенька, свой ротик, я тебе положу этот кусочек».",чем,голос,дополнение.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,Т.п.,,,,,,,,,,,,,,,
Утки,И. С. Тургенев,Существительное,Утки хлопотливо плескались и ковыляли в этих лужицах.,кто,утка,подлежащее.,нариц.,одуш.,,1 скл.,мн.ч.,Р.п.,,,,,,,,,,,,,,,
(из) Сплава,Л. К. Татьяничева,Существительное,И каждый ствол в той рощице нагорной из сплава необычного отлит.,чего,сплав,дополнение.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,Р.п.,,,,,,,,,,,,,,,
(в) Рощице,Л. К. Татьяничева,Существительное,И каждый ствол в той рощице нагорной из сплава необычного отлит.,"чём,где",рощица,обстоятельство.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,П.п.,,,,,,,,,,,,,,,
(в) Номере,И. С. Тургенев,Существительное,Он прекрасно одевался и всегда останавливался в лучшем номере лучшей гостиницы.,"чём,где",номер,обстоятельство.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,П.п.,,,,,,,,,,,,,,,
Свеченька,Н. А. Некрасов,Существительное,"Погас он, словно свеченька восковая, предыконная.","что,как",свеченька,обстоятельство.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
Слов,Н. А. Некрасов,Существительное,"Мало слов, а горя — реченька, горя — реченька бездонная.",чего,слово,дополнение.,нариц.,неодуш.,,2 скл.,мн.ч.,Р.п.,,,,,,,,,,,,,,,
Мальчик,А. П. Чехов,Существительное,"Ванька Жуков, девятилетний мальчик, отданный три месяца тому назад в ученье к сапожнику Аляхину, в ночь под Рождество не ложился спать.",кто,мальчик,подлежащее.,нариц.,одуш.,м.р.,2 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
(под) Рождество,А. П. Чехов,Существительное,"Ванька Жуков, девятилетний мальчик, отданный три месяца тому назад в ученье к сапожнику Аляхину, в ночь под Рождество не ложился спать.","что,когда",рождество,обстоятельство.,собств.,неодуш.,ср.р.,2 скл.,ед.ч.,В.п.,,,,,,,,,,,,,,,
Лебедёночек,С. А. Есенин,Существительное,"Ты не плачь, мой лебедёночек, не сетуй.",кто,"лебедёночек,лебеденочек",,нариц.,одуш.,м.р.,2 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
Бороде,С. А. Есенин,Существительное,И играет зайчик солнца в рыжеватой бороде.,"чём,где",борода,обстоятельство.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,Д.п.,,,,,,,,,,,,,,,
Занятие,И. С. Тургенев,Существительное,Удивительно приятное занятие лежать на спине в лесу и глядеть вверх!,что,занятие,дополнение.,нариц.,неодуш.,ср.р.,2 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
(на) Траве,И. С. Тургенев,Существительное,"На красноватой траве, на былинках, на соломинках — всюду блестели и волновались бесчисленные нити весенних паутин.","чём,где",трава,обстоятельство.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,П.п.,,,,,,,,,,,,,,,
Нити,И. С. Тургенев,Существительное,"На красноватой траве, на былинках, на соломинках — всюду блестели и волновались бесчисленные нити весенних паутин.",что,нить,подлежащее.,нариц.,неодуш.,,3 скл.,мн.ч.,И.п.,,,,,,,,,,,,,,,
(на) Завалинку,М. М. Пришвин,Существительное,"Она стала на завалинку, поднялась на задние лапы.","что,куда",завалинка,обстоятельство.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,В.п.,,,,,,,,,,,,,,,
Ивинка,М. М. Пришвин,Существительное,От всего богатства береговых зарослей корзиночной ивы торчит одна-единственная ивинка.,кто,ивинка,подлежащее.,нариц.,одуш.,ж.р.,1 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
Кольев,М. М. Пришвин,Существительное,"Каждую пару кольев они связывают перекладиной, с каждой перекладинки на другую прибивают гвоздями длинные жерди.",чего,кол,дополнение.,нариц.,неодуш.,,2 скл.,мн.ч.,Р.п.,,,,,,,,,,,,,,,
Перекладиной,М. М. Пришвин,Существительное,"Каждую пару кольев они связывают перекладиной, с каждой перекладинки на другую прибивают гвоздями длинные жерди.",чем,перекладина,дополнение.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,Т.п.,,,,,,,,,,,,,,,
Жерди,М. М. Пришвин,Существительное,"Каждую пару кольев они связывают перекладиной, с каждой перекладинки на другую прибивают гвоздями длинные жерди.",что,жердь,дополнение.,нариц.,неодуш.,,3 скл.,мн.ч.,И.п.,,,,,,,,,,,,,,,
(за) Перевалом,А. А. Фет,Существительное,"В последний раз, за третьим перевалом, пропал ямщик, звеня и не пыля.","чем,где",перевал,обстоятельство.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,Т.п.,,,,,,,,,,,,,,,
Гривенник,А. С. Пушкин,Существительное,"Он перевозчика зовёт, и перевозчик беззаботный его за гривенник охотно чрез волны страшные везёт.",что,гривенник,дополнение.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
Волны,А. С. Пушкин,Существительное,"Он перевозчика зовёт, и перевозчик беззаботный его за гривенник охотно чрез волны страшные везёт.","что,куда",волна,обстоятельство.,нариц.,неодуш.,,1 скл.,мн.ч.,И.п.,,,,,,,,,,,,,,,
Дом,А. П. Чехов,Существительное,В вечерних сумерках показался большой одноэтажный дом с ржавой железной крышей и с тёмными окнами.,кто,дом,подлежащее.,нариц.,одуш.,м.р.,2 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
(с) Крышей,А. П. Чехов,Существительное,В вечерних сумерках показался большой одноэтажный дом с ржавой железной крышей и с тёмными окнами.,чем,крыша,дополнение.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,Т.п.,,,,,,,,,,,,,,,
Двором,А. П. Чехов,Существительное,"Этот дом назывался постоялым двором, хотя возле него никакого двора не было и стоял он посреди степи, ничем не огороженный.",чем,двор,дополнение.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,Т.п.,,,,,,,,,,,,,,,
Степи,А. П. Чехов,Существительное,"Этот дом назывался постоялым двором, хотя возле него никакого двора не было и стоял он посреди степи, ничем не огороженный.",чего,степь,дополнение.,нариц.,неодуш.,,1 скл.,мн.ч.,И.п.,,,,,,,,,,,,,,,
(с) Плетнём,А. П. Чехов,Существительное,"Несколько в стороне от него темнел жалкий вишнёвый садик с плетнём, да под окнами, склонив свои тяжёлые головы, стояли спавшие подсолнечники.",чем,плетень,дополнение.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,Т.п.,,,,,,,,,,,,,,,
Головы,А. П. Чехов,Существительное,"Несколько в стороне от него темнел жалкий вишнёвый садик с плетнём, да под окнами, склонив свои тяжёлые головы, стояли спавшие подсолнечники.",что,голова,дополнение.,нариц.,неодуш.,,1 скл.,мн.ч.,И.п.,,,,,,,,,,,,,,,
Подсолнечники,А. П. Чехов,Существительное,"Несколько в стороне от него темнел жалкий вишнёвый садик с плетнём, да под окнами, склонив свои тяжёлые головы, стояли спавшие подсолнечники.",кто,подсолнечник,подлежащее.,нариц.,одуш.,,2 скл.,мн.ч.,И.п.,,,,,,,,,,,,,,,
Зайцев,А. П. Чехов,Существительное,"В садике трещала маленькая мельничка, поставленная для того, чтобы пугать стуком зайцев.",кого,заяц,дополнение.,нариц.,одуш.,м.р.,2 скл.,мн.ч.,Р.п.,,,,,,,,,,,,,,,
Бричка,А. П. Чехов,Существительное,"Едва бричка остановилась около крылечка с навесом, как в доме послышались радостные голоса — один мужской, другой женский, — завизжала дверь на блоке, и около брички в одно мгновение выросла высокая тощая фигура, размахивавшая руками и фалдами.",кто,бричка,подлежащее.,нариц.,одуш.,ж.р.,1 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
Крылечка,А. П. Чехов,Существительное,"Едва бричка остановилась около крылечка с навесом, как в доме послышались радостные голоса — один мужской, другой женский, — завизжала дверь на блоке, и около брички в одно мгновение выросла высокая тощая фигура, размахивавшая руками и фалдами.",чего,крылечко,дополнение.,нариц.,неодуш.,ср.р.,1 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
(в) Доме,А. П. Чехов,Существительное,"Едва бричка остановилась около крылечка с навесом, как в доме послышались радостные голоса — один мужской, другой женский, — завизжала дверь на блоке, и около брички в одно мгновение выросла высокая тощая фигура, размахивавшая руками и фалдами.","чём,где",дом,обстоятельство.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,П.п.,,,,,,,,,,,,,,,
Голоса,А. П. Чехов,Существительное,"Едва бричка остановилась около крылечка с навесом, как в доме послышались радостные голоса — один мужской, другой женский, — завизжала дверь на блоке, и около брички в одно мгновение выросла высокая тощая фигура, размахивавшая руками и фалдами.",кто,голос,подлежащее.,нариц.,одуш.,,1 скл.,мн.ч.,И.п.,,,,,,,,,,,,,,,
Фалдами,А. П. Чехов,Существительное,"Едва бричка остановилась около крылечка с навесом, как в доме послышались радостные голоса — один мужской, другой женский, — завизжала дверь на блоке, и около брички в одно мгновение выросла высокая тощая фигура, размахивавшая руками и фалдами.","чем,где",фалд,обстоятельство.,нариц.,неодуш.,,1 скл.,мн.ч.,Т.п.,,,,,,,,,,,,,,,
Хозяин,А. П. Чехов,Существительное,"Это был хозяин постоялого двора Мойсей Мойсеич, немолодой человек с очень бледным лицом и с чёрной, как тушь, красивой бородой.",кто,хозяин,подлежащее.,нариц.,одуш.,м.р.,2 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
Лицом,А. П. Чехов,Существительное,"Это был хозяин постоялого двора Мойсей Мойсеич, немолодой человек с очень бледным лицом и с чёрной, как тушь, красивой бородой.",чем,лицо,дополнение.,нариц.,неодуш.,ср.р.,2 скл.,ед.ч.,Т.п.,,,,,,,,,,,,,,,
Тушь,А. П. Чехов,Существительное,"Это был хозяин постоялого двора Мойсей Мойсеич, немолодой человек с очень бледным лицом и с чёрной, как тушь, красивой бородой.",что,тушь,обстоятельство.,нариц.,неодуш.,ж.р.,3 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
Сюртук,А. П. Чехов,Существительное,"Одет он был в поношенный чёрный сюртук, который болтался на его узких плечах, как на вешалке, и взмахивал фалдами, точно крыльями, всякий раз, как Мойсей Мойсеич от радости или в ужасе всплёскивал руками.",что,сюртук,дополнение.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
(на) Вешалке,А. П. Чехов,Существительное,"Одет он был в поношенный чёрный сюртук, который болтался на его узких плечах, как на вешалке, и взмахивал фалдами, точно крыльями, всякий раз, как Мойсей Мойсеич от радости или в ужасе всплёскивал руками.","чём,где",вешалка,обстоятельство.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,П.п.,,,,,,,,,,,,,,,
Руками,А. П. Чехов,Существительное,"Одет он был в поношенный чёрный сюртук, который болтался на его узких плечах, как на вешалке, и взмахивал фалдами, точно крыльями, всякий раз, как Мойсей Мойсеич от радости или в ужасе всплёскивал руками.",чем,рука,дополнение.,нариц.,неодуш.,,1 скл.,мн.ч.,Т.п.,,,,,,,,,,,,,,,
Жилетка,А. П. Чехов,Существительное,"Кроме сюртука, на хозяине были ещё широкие белые панталоны навыпуск и бархатная жилетка с рыжими цветами, похожими на гигантских клопов.",что,жилетка,дополнение.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
Клопов,А. П. Чехов,Существительное,"Кроме сюртука, на хозяине были ещё широкие белые панталоны навыпуск и бархатная жилетка с рыжими цветами, похожими на гигантских клопов.",кого,клоп,дополнение.,нариц.,одуш.,,2 скл.,мн.ч.,Р.п.,,,,,,,,,,,,,,,
Походку,В. Ильин,Существительное,"Нужно поспать хотя бы часа три, а то весь день будешь иметь бледный вид и макаронную походку.",что,походка,дополнение.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,В.п.,,,,,,,,,,,,,,,
Грома,С. П. Антонов,Существительное,"Дождь шёл нудный, равномерный, без грома и молнии, но густой и непрозрачный.",чего,гром,дополнение.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,Р.п.,,,,,,,,,,,,,,,
Селениям,И. Л. Андроников,Существительное,"Мы сбежали, наконец, в слышимый мир, на каменистое русло пенистой, шумной Арагвы, к малолюдным осетинским селениям, обведённым оградами из плоских камней.","чему,куда",селение,обстоятельство.,нариц.,неодуш.,,2 скл.,мн.ч.,Д.п.,,,,,,,,,,,,,,,
Оградами,И. Л. Андроников,Существительное,"Мы сбежали, наконец, в слышимый мир, на каменистое русло пенистой, шумной Арагвы, к малолюдным осетинским селениям, обведённым оградами из плоских камней.",чем,ограда,дополнение.,нариц.,неодуш.,,1 скл.,мн.ч.,Т.п.,,,,,,,,,,,,,,,
Русло,И. Л. Андроников,Существительное,"Мы сбежали, наконец, в слышимый мир, на каменистое русло пенистой, шумной Арагвы, к малолюдным осетинским селениям, обведённым оградами из плоских камней.","что,куда",русло,обстоятельство.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
Арагвы,И. Л. Андроников,Существительное,"Мы сбежали, наконец, в слышимый мир, на каменистое русло пенистой, шумной Арагвы, к малолюдным осетинским селениям, обведённым оградами из плоских камней.",кого,арагва,дополнение.,собств.,одуш.,ж.р.,1 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
Складках,М. Горький,Существительное,"Теперь его одноглазое кожаное лицо, всё в глубоких складках и зеленовато-серых, точно плесень, волосах, стало хитрым и ликующим.",чём,складка,дополнение.,нариц.,неодуш.,,1 скл.,мн.ч.,П.п.,,,,,,,,,,,,,,,
Плесень,М. Горький,Существительное,"Теперь его одноглазое кожаное лицо, всё в глубоких складках и зеленовато-серых, точно плесень, волосах, стало хитрым и ликующим.","что,как",плесень,обстоятельство.,нариц.,неодуш.,ж.р.,3 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
Дошке,В. Г. Лидин,Существительное,Впереди неё стояла женщина в оленьей дошке.,чём,дошка,дополнение.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,Д.п.,,,,,,,,,,,,,,,
Дети,Ф. А. Абрамов,Существительное,"Даже дети и те притихли, воробьиными стайками жались к взрослым.",кто,"ребёнок,ребенок",подлежащее.,нариц.,одуш.,,3 скл.,мн.ч.,И.п.,,,,,,,,,,,,,,,
Голод,Б. Л. Пастернак,Существительное,"И опять кольнут доныне неотпущенной виной, и окно по крестовине сдавит голод дровяной.",что,голод,подлежащее.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
Гроздья,И. С. Тургенев,Существительное,"Всюду пестрели голубые гроздья журавлиного гороха, золотые чашечки куриной слепоты, цветы ивана-да-марьи.",что,гроздь,подлежащее.,нариц.,неодуш.,,2 скл.,мн.ч.,И.п.,,,,,,,,,,,,,,,
Гороха,И. С. Тургенев,Существительное,"Всюду пестрели голубые гроздья журавлиного гороха, золотые чашечки куриной слепоты, цветы ивана-да-марьи.",чего,горох,дополнение.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,Р.п.,,,,,,,,,,,,,,,
Чашечки,И. С. Тургенев,Существительное,"Всюду пестрели голубые гроздья журавлиного гороха, золотые чашечки куриной слепоты, цветы ивана-да-марьи.",что,чашечка,подлежащее.,нариц.,неодуш.,,1 скл.,мн.ч.,И.п.,,,,,,,,,,,,,,,
Ивана-да-марьи,И. С. Тургенев,Существительное,"Всюду пестрели голубые гроздья журавлиного гороха, золотые чашечки куриной слепоты, цветы ивана-да-марьи.","чего,какие",иван-да-марья,определение.,нариц.,неодуш.,м.р.,1 скл.,мн.ч.,И.п.,,,,,,,,,,,,,,,
